data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7160098,804,UKR39358,39358,"10 July 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,,,0,10,Europe,Ukraine,Donetsk,Bakhmutskyi,Svitlodarska,Hladosove,48.4315,38.0676,2,"OSCE SMM-Ukraine",Other,"On 10 July 2020, the OSCE SMM observed a total of 15 projectiles involving unknown weapons near Hladosove.",0,1618500243,UKR
7167228,804,UKR39461,39461,"10 July 2020",2020,1,Protests,"Peaceful protest","Protesters (Ukraine)",,6,,,0,60,Europe,Ukraine,Lviv,Lvivskyi,Lvivska,Lviv,49.8407,24.0305,1,Vholos,Subnational,"On 10 July 2020, several dozen people protested in Lviv against a lawsuit filed by an MP from the Opposition Platform - For Life party. The MP demands prohibition of a book about persecution of a Ukrainian poet and activist whose state defender was the claimant. [size=several dozen]",0,1618500264,UKR
7224426,804,UKR39267,39267,"10 July 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","NAF: United Armed Forces of Novorossiya",,2,"Military Forces of Ukraine (2019-)",,1,12,Europe,Ukraine,Donetsk,Pokrovskyi,Avdiivska,Avdiivka,48.1394,37.7497,2,"JFO HQ press centre; Ministry of Defence of Ukraine",Other,"On 10 July 2020, the NAF rebel forces fired grenade launchers and heavy machine guns at the governmental positions near Avdiivka, Donetsk. During the day, one Ukrainian soldier was killed and three were wounded at unspecified locations [1 fatality split among 11 events].",0,1618500251,UKR
7224427,804,UKR39268,39268,"10 July 2020",2020,1,Battles,"Armed clash","NAF: United Armed Forces of Novorossiya",,2,"Military Forces of Ukraine (2019-)",,1,12,Europe,Ukraine,Donetsk,Pokrovskyi,Ocheretynska,Nevelske,48.0595,37.5754,2,"JFO HQ press centre; Ministry of Defence of Ukraine",Other,"On 10 July 2020, the NAF rebel forces fired grenade launchers, heavy machine guns and small arms at the governmental positions near Nevelske, Donetsk. During the day, one Ukrainian soldier was killed and three were wounded at unspecified locations [1 fatality split among 11 events].",0,1618500251,UKR
7224431,804,UKR39302,39302,"10 July 2020",2020,1,Battles,"Armed clash","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Donbass People's Militia",2,12,Europe,Ukraine,Donetsk,Mariupolskyi,Sartanska,Kominternove,47.1745,37.811,2,"OSCE SMM-Ukraine; DPR Armed Forces Press Service",Other,"On 10 July 2020, the Ukrainian Forces fired grenade launchers, heavy machine guns and small arms at the positions of the Donbass People's Militia in the area of Kominternove, Donetsk. The OSCE SMM observed a total of 10 projectiles/shots involving unknown weapons in both directions of the frontline near Kominternove.",0,1618500251,UKR
8869475,804,UKR39403,39403,"10 July 2020",2020,1,Protests,"Peaceful protest","Protesters (Ukraine)","National Corps Party; Svoboda",6,,,0,60,Europe,Ukraine,"Kyiv City",Kyiv,,"Kyiv - Darnytskyi",50.4003,30.6807,1,"Svoboda; Novoye Vremya Ukraine; Hromadske Radio",National,"On 10 July 2020, about 100 people, including members of National Corps and Svoboda, protested outside a court in Kiev-Darnytskyi against an MP from the Opposition Platform - For Life party. The MP initiated legal action demanding prohibition of a book about persecution of a Ukrainian poet and activist whose state defender was the claimant. [size=about 100]",0,1646184492,UKR
8870269,804,UKR39394,39394,"10 July 2020",2020,1,Protests,"Peaceful protest","Protesters (Ukraine)","Labour Group (Ukraine)",6,,,0,60,Europe,Ukraine,"Kyiv City",Kyiv,,"Kyiv - Pecherskyi",50.427,30.5454,1,"Independent Trade Union of Miners of Ukraine","New media","On 10 July 2020, miners protested in Kiev-Pecherskyi demanding the payment of wages and better working conditions. [size=no report]",0,1646184494,UKR
8870290,804,UKR39752,39752,"10 July 2020",2020,1,"Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)","Anarchist Group (Ukraine)",3,"Police Forces of Ukraine (2019-)",,1,13,Europe,Ukraine,"Kyiv City",Kyiv,,"Kyiv - Pecherskyi",50.427,30.5454,1,"Kyiv Operatyvnyi",National,"Property destruction: On 10 July 2020, members of an anarchist group set fire to a police department in Kiev-Pecherskyi. No injuries were reported.",0,1646184494,UKR
9173358,804,UKR39356,39356,"10 July 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,,,0,10,Europe,Ukraine,Donetsk,Volnovaskyi,Olhynska,Novotroitske,47.7158,37.5919,2,"OSCE SMM-Ukraine",Other,"On 10 July 2020, the OSCE SMM observed a total of 1 projectiles involving unknown weapons near Novotroitske.",0,1651165029,UKR
7159859,804,UKR39256,39256,"09 July 2020",2020,1,Battles,"Armed clash","NAF: United Armed Forces of Novorossiya",,2,"Military Forces of Ukraine (2019-)",,1,12,Europe,Ukraine,Donetsk,Bakhmutskyi,Svitlodarska,Novoluhanske,48.4263,38.1711,2,"JFO HQ press centre; Ministry of Defence of Ukraine",Other,"On 9 July 2020, the NAF rebel forces fired 122mm artillery, 82mm mortars, anti-tank guided missiles and small arms at the governmental positions near Novoluhanske, Donetsk.",0,1618500272,UKR
7159861,804,UKR39258,39258,"09 July 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","NAF: United Armed Forces of Novorossiya",,2,"Military Forces of Ukraine (2019-)",,1,12,Europe,Ukraine,Donetsk,Pokrovskyi,Marinska,Marinka,47.9425,37.505,2,"JFO HQ press centre; Ministry of Defence of Ukraine",Other,"On 9 July 2020, the NAF rebel forces fired grenade launchers at the governmental positions near Marinka, Donetsk.",0,1618500272,UKR
7159881,804,UKR39290,39290,"09 July 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Donbass People's Militia",2,12,Europe,Ukraine,Donetsk,Bakhmutskyi,Svitlodarska,Zaitseve,48.4292,38.0094,2,"DPR Armed Forces Press Service; OSCE SMM-Ukraine",Other,"On 9 July 2020, the Ukrainian Forces fired 120mm mortars at the positions of the Donbass People's Militia in the area of Zaitseve, Donetsk. The OSCE SMM observed a total of 4 explosions involving unknown weapons near Zaitseve.",0,1618500277,UKR
7159950,804,UKR39289,39289,"09 July 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Donbass People's Militia",2,12,Europe,Ukraine,Donetsk,Bakhmutskyi,Svitlodarska,Dolomytne,48.416,38.1346,2,"DPR Armed Forces Press Service",Other,"On 9 July 2020, the Ukrainian Forces fired 122mm artillery and 120mm mortars at the positions of the Donbass People's Militia in the area of Dolomytne, Donetsk.",0,1618500282,UKR
7159951,804,UKR39291,39291,"09 July 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Donbass People's Militia",2,12,Europe,Ukraine,Donetsk,Horlivskyi,Horlivska,Bairak,48.3162,38.132,2,"DPR Armed Forces Press Service",Other,"On 9 July 2020, the Ukrainian Forces fired 120mm mortars at the positions of the Donbass People's Militia in the area of Bairak, Donetsk.",0,1618500282,UKR
7159952,804,UKR39292,39292,"09 July 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Donbass People's Militia",2,12,Europe,Ukraine,Donetsk,Horlivskyi,Horlivska,Rumyantsevo,48.3429,38.068,2,"DPR Armed Forces Press Service",Other,"On 9 July 2020, the Ukrainian Forces fired 120mm mortars at the positions of the Donbass People's Militia in the area of Rumyantsevo, Donetsk.",0,1618500282,UKR
7159957,804,UKR39297,39297,"09 July 2020",2020,1,Battles,"Armed clash","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Donbass People's Militia",2,12,Europe,Ukraine,Donetsk,Pokrovskyi,Ocheretynska,Zhabichevo,48.0617,37.6975,2,"DPR Armed Forces Press Service",Other,"On 9 July 2020, the Ukrainian Forces fired small arms at the positions of the Donbass People's Militia in the area of Zhabichevo, Donetsk.",0,1618500283,UKR
7159958,804,UKR39298,39298,"09 July 2020",2020,1,Battles,"Armed clash","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Donbass People's Militia",2,12,Europe,Ukraine,Donetsk,Kalmiuskyi,Dokuchaievska,Dokuchaevsk,47.7492,37.6777,2,"DPR Armed Forces Press Service",Other,"On 9 July 2020, the Ukrainian Forces fired small arms at the positions of the Donbass People's Militia in the area of Dokuchaevsk, Donetsk.",0,1618500283,UKR
7160036,804,UKR39417,39417,"09 July 2020",2020,1,Protests,"Peaceful protest","Protesters (Ukraine)","National Corps Party",6,,,0,60,Europe,Ukraine,Cherkasy,Cherkaskyi,Chepkaska,Cherkasy,49.4285,32.0621,1,"National Corps",Other,"On 9 July 2020, members of National Corps and other people protested in Cherkasy against judges that released the suspects in a drug trafficking case. [size=no report]",0,1618500291,UKR
7160037,804,UKR39418,39418,"09 July 2020",2020,1,Protests,"Peaceful protest","Protesters (Ukraine)","National Corps Party; Former Military Forces of Ukraine (2014-2019)",6,,,0,60,Europe,Ukraine,Lviv,Lvivskyi,Lvivska,Lviv,49.8407,24.0305,1,"National Corps",Other,"On 9 July 2020, members of National Corps, Donbas veterans and other activists protested in Lviv demanding that bus drivers respect the veterans' right to use public transport for free. [size=no report]",0,1618500291,UKR
7160085,804,UKR39345,39345,"09 July 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,,,0,10,Europe,Ukraine,Donetsk,Donetskyi,Yasynuvatska,"Donetsk Filtration Station",48.1331,37.808,2,"OSCE SMM-Ukraine",Other,"On 9 July 2020, the OSCE SMM observed a total of 4 projectiles/explosions involving unknown weapons near Donetsk Filtration Station.",0,1618500266,UKR
7160087,804,UKR39347,39347,"09 July 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,,,0,10,Europe,Ukraine,Luhansk,Alchevskyi,Kadiivska,Donetskyi,48.6963,38.6738,2,"OSCE SMM-Ukraine",Other,"On 9 July 2020, the OSCE SMM observed a total of 5 explosions involving unknown weapons near Donetskyi.",0,1618500266,UKR
7160088,804,UKR39348,39348,"09 July 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","NAF: United Armed Forces of Novorossiya",,2,,,0,20,Europe,Ukraine,Donetsk,Mariupolskyi,Sartanska,Kominternove,47.1745,37.811,2,"OSCE SMM-Ukraine",Other,"On 9 July 2020, the OSCE SMM observed a total of 1 projectiles involving unknown weapons near Kominternove.",0,1618500266,UKR
